group	value	gene_id
Background	0.532230426	ENSG00000142409
Background	0.030164372	ENSG00000100344
Background	0.18929995	ENSG00000105607
Background	-0.112823882	ENSG00000147231
Background	-0.06947811	ENSG00000151498
Background	0.168304233	ENSG00000148057
Background	-0.220168487	ENSG00000115271
Background	0.246583716	ENSG00000237172
Background	-0.035109685	ENSG00000183172
Background	-0.050293232	ENSG00000115318
Background	-0.120177535	ENSG00000155868
Background	-0.002412072	ENSG00000124357
Background	0.006598748	ENSG00000147535
Background	0.03442716	ENSG00000140365
Background	0.057968567	ENSG00000149179
Background	0.235849755	ENSG00000126106
Background	0.123460778	ENSG00000110237
Background	-0.277484163	ENSG00000163633
Background	-0.062631318	ENSG00000198522
Background	-0.181718088	ENSG00000198130
Background	0.140222643	ENSG00000125971
Background	-0.014297538	ENSG00000086544
Background	0.160083654	ENSG00000213859
Background	0.136820881	ENSG00000110921
Background	0.077418969	ENSG00000170917
Background	0.062171238	ENSG00000158552
Background	0.109641281	ENSG00000184574
Background	0.124797646	ENSG00000171130
Background	0.192922179	ENSG00000117262
Background	0.114548408	ENSG00000033011
Background	0.074414242	ENSG00000132254
Background	-0.06369066	ENSG00000170502
Background	0.220272884	ENSG00000055950
Background	0.049570244	ENSG00000137070
Background	0.183384179	ENSG00000259431
Background	-0.076655078	ENSG00000165861
Background	0.017352694	ENSG00000166780
Background	0.048480021	ENSG00000167264
Background	0.254272011	ENSG00000196502
Background	0.603972785	ENSG00000179922
Background	0.035996279	ENSG00000168297
Background	-0.107144223	ENSG00000108433
Background	0.064400085	ENSG00000176715
Background	0.082642076	ENSG00000181894
Background	0.018557261	ENSG00000105372
Background	-0.058619353	ENSG00000102805
Background	0.061936838	ENSG00000138101
Background	0.044803177	ENSG00000001460
Background	-0.058719517	ENSG00000108278
Background	-0.114911023	ENSG00000172273
Background	-0.065427489	ENSG00000101247
Background	0.062149227	ENSG00000087460
Background	0.141965583	ENSG00000162073
Background	0.020151039	ENSG00000171827
Background	-0.180131215	ENSG00000180938
Background	0.000349923	ENSG00000106992
Background	0.244006389	ENSG00000135723
Background	-0.055005646	ENSG00000214013
Background	-0.082566481	ENSG00000171566
Background	0.072474412	ENSG00000057294
Background	0.218353709	ENSG00000176371
Background	0.075743339	ENSG00000151065
Background	-0.021945572	ENSG00000133422
Background	0.202457246	ENSG00000087903
Background	0.142179458	ENSG00000164296
Background	0.053338686	ENSG00000114446
Background	0.115756988	ENSG00000137343
Background	-0.183514259	ENSG00000072954
Background	0.001724351	ENSG00000182134
Background	0.001935888	ENSG00000087299
Background	0.095359937	ENSG00000145736
Background	0.037735843	ENSG00000162994
Background	0.18612284	ENSG00000168397
Background	0.130617013	ENSG00000163482
Background	0.088930062	ENSG00000186073
Background	0.075269536	ENSG00000115459
Background	0.451984093	ENSG00000196843
Background	0.140167795	ENSG00000106100
Background	0.082679478	ENSG00000167625
Background	-0.030270246	ENSG00000140830
Background	-0.067194483	ENSG00000167904
Background	0.02575535	ENSG00000115661
Background	0.083558067	ENSG00000119522
Background	0.235021656	ENSG00000116525
Background	0.176727136	ENSG00000126215
Background	-0.122449999	ENSG00000163026
Background	-0.160836678	ENSG00000131746
Background	-0.234034276	ENSG00000234769
Background	-0.211373146	ENSG00000135976
Background	-0.055349897	ENSG00000149292
Background	-0.017827512	ENSG00000103852
Background	-0.022172562	ENSG00000168014
Background	0.047295507	ENSG00000133131
Background	-0.145454119	ENSG00000155984
Background	0.125950325	ENSG00000131943
Background	0.022678229	ENSG00000004660
Background	0.422822914	ENSG00000215018
Background	0.080435763	ENSG00000119772
Background	0.115907116	ENSG00000196123
Background	-0.008913166	ENSG00000011376
Background	0.033548541	ENSG00000112297
Background	-0.012387668	ENSG00000169550
Background	0.1453189415	ENSG00000168255
Background	0.114601716	ENSG00000160097
Background	-0.205460036	ENSG00000049167
Background	0.03016655	ENSG00000108773
Background	0.117893384	ENSG00000108797
Background	-0.386757864	ENSG00000206561
Background	-0.184211852	ENSG00000204790
Background	0.085978768	ENSG00000135631
Background	-0.08121366	ENSG00000103227
Background	0.166135779	ENSG00000105738
Background	0.091848881	ENSG00000156521
Background	-0.152501735	ENSG00000135373
Background	0.036924199	ENSG00000175354
Background	-0.107383924	ENSG00000140386
Background	-0.046666549	ENSG00000116127
Background	0.032537763	ENSG00000251192
Background	-0.084410341	ENSG00000134569
