"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"42372"	"0.293"	"0.0120383"	"0.72937186"	""
"11387"	"0.293"	"0.0120804"	"-0.55345848"	"A3GALT2"
"7318"	"0.293"	"0.0120877"	"-1.12941494"	"NEAT1"
"30460"	"0.293"	"0.0120959"	"-1.49123768"	""
"45007"	"0.293"	"0.0121164"	"-0.57612551"	"C9orf135"
"3406"	"0.293"	"0.0121355"	"-0.53227075"	"OR4K17"
"42989"	"0.293"	"0.0121634"	"-0.54700941"	""
"12253"	"0.293"	"0.0121747"	"0.86476541"	"LAMP5"
"3343"	"0.293"	"0.012179"	"-0.5400302"	"SOX10"
"8913"	"0.293"	"0.0121972"	"-0.52725261"	"GDF6"
"39037"	"0.293"	"0.0122453"	"1.00428339"	"MYO15B"
"35824"	"0.293"	"0.0122594"	"0.3979131"	""
"26415"	"0.293"	"0.0122856"	"-2.08616184"	"KCND2"
"16007"	"0.293"	"0.0122981"	"0.92202986"	""
"11542"	"0.293"	"0.0123015"	"-0.58178141"	"PTGER3"
"40930"	"0.293"	"0.0123191"	"1.10845809"	"MRGPRX2"
"3563"	"0.293"	"0.012329"	"-0.54576348"	""
"30694"	"0.293"	"0.0123566"	"-0.62921863"	"SYNPR"
"43576"	"0.293"	"0.0123577"	"-1.25388334"	"CD200"
"1819"	"0.293"	"0.0123721"	"-0.53830524"	""
"7888"	"0.293"	"0.0124076"	"-0.52198994"	"NKX6-1"
"4873"	"0.293"	"0.0124457"	"-0.57579184"	"AMELY"
"27989"	"0.293"	"0.0124937"	"-0.59647478"	""
"20998"	"0.293"	"0.0125244"	"-1.71880001"	""
"30008"	"0.293"	"0.0125689"	"-1.27958372"	""
"44859"	"0.293"	"0.0125853"	"-0.5787013"	""
"34345"	"0.293"	"0.0125873"	"0.58184383"	""
"17063"	"0.293"	"0.0126156"	"-0.55683364"	""
"13281"	"0.293"	"0.0126869"	"0.49993929"	"UGT2A1"
"9855"	"0.293"	"0.0126903"	"-0.52476328"	""
"40689"	"0.293"	"0.012697"	"0.81677396"	"SOD3"
"3538"	"0.293"	"0.012789"	"-0.54234703"	"LOC100129884"
"1963"	"0.293"	"0.0128694"	"-0.48731963"	"ZBTB20-AS1"
"3660"	"0.293"	"0.0129208"	"-0.6352954"	""
"21493"	"0.293"	"0.0129453"	"-0.56663436"	""
"40114"	"0.293"	"0.0129669"	"1.33887824"	"ZCCHC2"
"43513"	"0.293"	"0.0129671"	"-0.97346032"	"HOXD1"
"33039"	"0.293"	"0.0129697"	"1.12746995"	"FMN1"
"34522"	"0.293"	"0.0129785"	"-0.63566087"	""
"14149"	"0.293"	"0.013014"	"0.98862582"	""
"5512"	"0.293"	"0.0130205"	"-0.60626824"	"PTPRT"
"26557"	"0.293"	"0.0130506"	"0.80530528"	"LGALS2"
"4060"	"0.293"	"0.0130672"	"-0.59518868"	""
"33929"	"0.293"	"0.0131252"	"-0.82804801"	"HHIPL1"
"28446"	"0.293"	"0.0131354"	"-0.52913736"	"AOAH"
"27061"	"0.293"	"0.0131434"	"-1.53559653"	"LOC100505841"
"11361"	"0.293"	"0.0131454"	"0.84086124"	""
"20039"	"0.293"	"0.0132124"	"-0.57997494"	"SCML4"
"13039"	"0.293"	"0.0133243"	"1.00006082"	"ZNF597"
"16650"	"0.293"	"0.0133267"	"-0.535019"	""
"9066"	"0.293"	"0.0133422"	"-0.58993443"	""
"688"	"0.293"	"0.0133615"	"-0.49775733"	"A4GNT"
"42017"	"0.293"	"0.0133992"	"-0.4834163"	"SLC38A3"
"19801"	"0.293"	"0.0134828"	"-0.5301585"	"TTC6"
"5091"	"0.293"	"0.013483"	"-0.51407824"	"KDR"
"36960"	"0.293"	"0.0134953"	"-1.01513544"	""
"41631"	"0.293"	"0.0135087"	"0.55097199"	"ZAP70"
"35704"	"0.293"	"0.0135419"	"-0.66664554"	"ITGA4"
"41062"	"0.293"	"0.0135662"	"0.35718279"	""
"4764"	"0.293"	"0.0135799"	"-0.43884299"	"SERPINB13"
"11554"	"0.293"	"0.0135929"	"-0.60253323"	"PKD2L2"
"40833"	"0.293"	"0.0136264"	"-0.66930469"	""
"34352"	"0.293"	"0.0136539"	"-0.486677"	"IGF1"
"32738"	"0.293"	"0.0137534"	"-0.66189695"	"ITGA9"
"20963"	"0.293"	"0.0137672"	"-0.54467579"	"CYP4F29P"
"24842"	"0.293"	"0.0138722"	"0.84738153"	""
"36809"	"0.293"	"0.0139189"	"0.72373657"	"CARMIL1"
"19006"	"0.293"	"0.013962"	"-0.53231463"	"PCDH11Y"
"35581"	"0.293"	"0.0139935"	"0.5216663"	"GABRR3"
"17541"	"0.293"	"0.0140364"	"-0.51869548"	""
"20457"	"0.293"	"0.0140969"	"-0.54643184"	""
"39851"	"0.293"	"0.0141651"	"0.38447614"	"CLGN"
"4379"	"0.293"	"0.0142018"	"-0.60286966"	"RADIL"
"23522"	"0.293"	"0.014204"	"-0.57924075"	""
"29125"	"0.293"	"0.0142078"	"0.65188221"	"ZNF407"
"42249"	"0.293"	"0.014221"	"0.71333524"	"ZC3H7B"
"29010"	"0.293"	"0.0142419"	"-0.53255785"	"HBS1L"
"32306"	"0.293"	"0.0142878"	"-0.67869857"	""
"30413"	"0.293"	"0.0142966"	"0.41742416"	"TCTE3"
