"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"223194_s_at"	"1"	"0.025416"	"6.40e-01"	"SLC22A23"
"232779_at"	"1"	"0.025425"	"5.93e-01"	""
"228798_x_at"	"1"	"0.025463"	"-5.48e-01"	"LOC100289283"
"224517_at"	"1"	"0.025476"	"5.40e-01"	"POLR2J4"
"213010_at"	"1"	"0.025478"	"5.44e-01"	"PRKCDBP"
"1552717_s_at"	"1"	"0.025512"	"5.43e-01"	"CEP170P1///CEP170"
"239097_at"	"1"	"0.025559"	"-6.09e-01"	"FRRS1L"
"223184_s_at"	"1"	"0.025569"	"6.90e-01"	"AGPAT3"
"239138_at"	"1"	"0.02559"	"5.49e-01"	"NAA50"
"226576_at"	"1"	"0.025637"	"5.61e-01"	"ARHGAP26"
"1564886_at"	"1"	"0.02564"	"6.41e-01"	""
"1558080_s_at"	"1"	"0.025641"	"5.38e-01"	"DNAJC3"
"1558733_at"	"1"	"0.025669"	"6.71e-01"	"ZBTB38"
"228146_at"	"1"	"0.025671"	"5.53e-01"	"C17orf51"
"235961_at"	"1"	"0.025702"	"8.09e-01"	"GPR161"
"236557_at"	"1"	"0.025787"	"6.13e-01"	"ZBTB38"
"223791_at"	"1"	"0.025817"	"5.39e-01"	"FAM27B///FAM27C"
"207520_at"	"1"	"0.02586"	"7.98e-01"	"TROVE2"
"1555784_s_at"	"1"	"0.025861"	"5.77e-01"	"IRAK1"
"231495_at"	"1"	"0.025867"	"6.64e-01"	""
"226847_at"	"1"	"0.025908"	"9.30e-01"	"FST"
"241200_x_at"	"1"	"0.025997"	"5.37e-01"	""
"1554155_at"	"1"	"0.026037"	"6.85e-01"	"MCPH1"
"236436_at"	"1"	"0.026108"	"5.58e-01"	"SLC25A45"
"237216_at"	"1"	"0.026185"	"6.10e-01"	""
"228312_at"	"1"	"0.026353"	"-6.29e-01"	"PI16"
"235706_at"	"1"	"0.026358"	"7.68e-01"	"CPM"
"226766_at"	"1"	"0.026409"	"5.34e-01"	"ROBO2"
"1563614_at"	"1"	"0.026431"	"6.82e-01"	"MTBP"
"1559025_at"	"1"	"0.026449"	"5.81e-01"	"SEPT9"
"228205_at"	"1"	"0.026476"	"7.60e-01"	"TKT"
"1561538_at"	"1"	"0.0265"	"-5.32e-01"	""
"240952_at"	"1"	"0.026631"	"5.55e-01"	""
"224558_s_at"	"1"	"0.026634"	"6.16e-01"	"MALAT1"
"238728_at"	"1"	"0.02673"	"-5.61e-01"	"MRPS23"
"236386_at"	"1"	"0.026733"	"5.36e-01"	"SUZ12P1"
"1556462_a_at"	"1"	"0.026758"	"5.86e-01"	""
"213694_at"	"1"	"0.026783"	"6.18e-01"	"RSBN1"
"226663_at"	"1"	"0.026959"	"6.15e-01"	"ANKRD10-IT1"
"216228_s_at"	"1"	"0.026961"	"5.73e-01"	"WDHD1"
"219722_s_at"	"1"	"0.026995"	"6.77e-01"	"GDPD3"
"239032_at"	"1"	"0.027167"	"6.95e-01"	""
"202073_at"	"1"	"0.027303"	"1.10"	"OPTN"
"1558915_a_at"	"1"	"0.027353"	"5.30e-01"	"PEX14"
"235595_at"	"1"	"0.027576"	"5.52e-01"	"ARHGEF2"
"243059_at"	"1"	"0.027659"	"5.27e-01"	"FENDRR"
"233251_at"	"1"	"0.02766"	"5.74e-01"	"STRBP"
"221618_s_at"	"1"	"0.027705"	"8.08e-01"	"TAF9B"
"239164_at"	"1"	"0.027726"	"5.54e-01"	""
"216826_at"	"1"	"0.027823"	"-5.26e-01"	""
"237739_at"	"1"	"0.027827"	"-5.48e-01"	"BGLT3"
"238598_s_at"	"1"	"0.027842"	"5.40e-01"	""
"242108_at"	"1"	"0.027882"	"6.57e-01"	""
"210044_s_at"	"1"	"0.027886"	"-5.62e-01"	"LYL1"
"1562235_s_at"	"1"	"0.027924"	"7.53e-01"	""
