"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"8027566"	"1"	"0.018313"	"5.57e-01"	"CEBPG"
"8176442"	"1"	"0.0183495"	"-6.52e-01"	"TBL1Y"
"8015410"	"1"	"0.0183995"	"6.63e-01"	""
"8129706"	"1"	"0.0185412"	"-5.53e-01"	"HBS1L"
"7896537"	"1"	"0.0186472"	"-8.53e-01"	""
"8090690"	"1"	"0.0186633"	"-7.42e-01"	"CPNE4"
"7893576"	"1"	"0.0186888"	"1.96"	""
"7971913"	"1"	"0.0187399"	"-5.55e-01"	""
"7981111"	"1"	"0.0187444"	"5.34e-01"	"DICER1"
"7896817"	"1"	"0.0187796"	"8.38e-01"	"ISG15"
"7915543"	"1"	"0.0187816"	"5.93e-01"	"SLC6A9"
"7976443"	"1"	"0.0187862"	"9.14e-01"	"IFI27"
"7895840"	"1"	"0.0188984"	"7.01e-01"	""
"7893416"	"1"	"0.0190333"	"8.92e-01"	""
"8016042"	"1"	"0.019035"	"-9.50e-01"	""
"7894217"	"1"	"0.0190602"	"-7.90e-01"	""
"8161865"	"1"	"0.0190659"	"-5.52e-01"	"PRUNE2"
"7982337"	"1"	"0.0190757"	"-6.63e-01"	""
"8081590"	"1"	"0.0191278"	"-5.99e-01"	"PHLDB2"
"7979811"	"1"	"0.0191615"	"-8.74e-01"	""
"7893521"	"1"	"0.0191987"	"6.92e-01"	""
"8038874"	"1"	"0.0192051"	"-5.70e-01"	"LINC01530"
"7912207"	"1"	"0.0194231"	"5.14e-01"	""
"7892958"	"1"	"0.0194522"	"8.06e-01"	""
"7894280"	"1"	"0.0196617"	"8.47e-01"	""
"8114006"	"1"	"0.0196696"	"-5.14e-01"	""
"7907655"	"1"	"0.0197251"	"-1.04"	""
"7895805"	"1"	"0.0197578"	"-5.07e-01"	""
"8174193"	"1"	"0.0197731"	"7.12e-01"	""
"8043502"	"1"	"0.019863"	"8.24e-01"	""
"7954692"	"1"	"0.0200017"	"5.04e-01"	"FLJ13224"
"8151629"	"1"	"0.0200756"	"1.05"	"REXO1L1P"
"7906764"	"1"	"0.020095"	"5.00e-01"	"HSPA6"
"7896693"	"1"	"0.0201373"	"5.00e-01"	""
"7961075"	"1"	"0.0201373"	"5.00e-01"	"CD69"
"7894318"	"1"	"0.0201597"	"8.40e-01"	""
"8149733"	"1"	"0.0201985"	"7.00e-01"	"TNFRSF10B"
"8047174"	"1"	"0.0202149"	"-9.61e-01"	"SLC39A10"
"8115234"	"1"	"0.020247"	"-5.21e-01"	"ANXA6"
"7905067"	"1"	"0.0202898"	"8.78e-01"	"HIST2H4B///HIST2H4A"
"7919627"	"1"	"0.0202898"	"8.78e-01"	"HIST2H4B///HIST2H4A"
"7893834"	"1"	"0.0203238"	"-5.74e-01"	""
